=== Inicio de la Optimización PSO Global ===

--- Iteración 1 ---
Partícula 07 | Posición: [-0.7052, -2.7794] | Velocidad: [-0.2542, -0.6386] | pbest: -27.1553 | gbest: -44.3817
Partícula 08 | Posición: [ 3.3847, -3.7683] | Velocidad: [-1.4230,  0.1238] | pbest: -24.6714 | gbest: -44.3817
Partícula 09 | Posición: [-1.1009, -1.0551] | Velocidad: [-1.7222,  0.5254] | pbest: -41.7134 | gbest: -44.3817
Partícula 10 | Posición: [-3.5495, -1.4447] | Velocidad: [-2.3592,  0.1074] | pbest: -44.3817 | gbest: -44.3817
Partícula 11 | Posición: [-0.8209, -1.5760] | Velocidad: [-1.6630,  0.0426] | pbest: -40.1363 | gbest: -44.3817
Partícula 12 | Posición: [-2.1361, -2.0432] | Velocidad: [-0.2741,  0.0542] | pbest: -37.6933 | gbest: -44.3817
Partícula 13 | Posición: [-1.5098, -0.9477] | Velocidad: [-0.5771,  0.7797] | pbest: -42.0781 | gbest: -44.3817
Partícula 14 | Posición: [-2.0334, -1.5326] | Velocidad: [-1.2758,  0.0005] | pbest: -40.8708 | gbest: -44.3817
Partícula 15 | Posición: [-1.1160, -2.5781] | Velocidad: [ 0.0075, -0.9033] | pbest: -43.3382 | gbest: -44.3817
Partícula 16 | Posición: [-0.8230, -0.7062] | Velocidad: [-0.3244,  0.2723] | pbest: -33.3788 | gbest: -44.3817
Partícula 17 | Posición: [-1.2683, -1.2098] | Velocidad: [-0.4147, -0.1055] | pbest: -44.1818 | gbest: -44.3817
Partícula 18 | Posición: [-0.5441, -1.4575] | Velocidad: [ 0.3810,  0.1578] | pbest: -41.4770 | gbest: -44.3817
Partícula 19 | Posición: [-0.4342, -0.8133] | Velocidad: [ 1.8507,  1.7607] | pbest: -27.8318 | gbest: -44.3817
Partícula 20 | Posición: [-1.9284, -0.1598] | Velocidad: [ 0.1079,  0.1577] | pbest: -39.4968 | gbest: -44.3817

--- Iteración 4 ---
Partícula 01 | Posición: [-1.2332,  2.2004] | Velocidad: [ 0.2156,  0.7868] | pbest: -5.0309 | gbest: -44.3817
Partícula 02 | Posición: [-0.9446, -1.9550] | Velocidad: [-0.4393, -0.1035] | pbest: -38.7185 | gbest: -44.3817
Partícula 03 | Posición: [-1.6474, -1.9048] | Velocidad: [-0.5472,  0.1887] | pbest: -42.2031 | gbest: -44.3817
Partícula 04 | Posición: [ 0.2607, -1.3197] | Velocidad: [-1.9287, -0.1265] | pbest: -15.9624 | gbest: -44.3817
Partícula 05 | Posición: [-1.3006, -1.1132] | Velocidad: [ 0.3346,  1.5898] | pbest: -43.5896 | gbest: -44.3817
Partícula 06 | Posición: [-0.9906, -2.6503] | Velocidad: [ 0.0567,  0.0681] | pbest: -25.0920 | gbest: -44.3817
Partícula 07 | Posición: [-1.1843, -1.2798] | Velocidad: [-0.4791,  1.4996] | pbest: -44.0643 | gbest: -44.3817
Partícula 08 | Posición: [-0.4402, -0.9462] | Velocidad: [-3.8249,  2.8221] | pbest: -29.8445 | gbest: -44.3817
Partícula 09 | Posición: [-1.7991, -0.8966] | Velocidad: [-0.6982,  0.1585] | pbest: -41.7134 | gbest: -44.3817
Partícula 10 | Posición: [-4.0076, -1.4239] | Velocidad: [-0.4580,  0.0209] | pbest: -44.3817 | gbest: -44.3817
Partícula 11 | Posición: [-1.8282, -1.5369] | Velocidad: [-1.0073,  0.0392] | pbest: -43.4573 | gbest: -44.3817
Partícula 12 | Posición: [-0.9956, -1.5064] | Velocidad: [ 1.1405,  0.5368] | pbest: -42.6648 | gbest: -44.3817
Partícula 13 | Posición: [-1.4921, -1.1060] | Velocidad: [ 0.0177, -0.1583] | pbest: -43.8206 | gbest: -44.3817
Partícula 14 | Posición: [-1.5460, -1.5555] | Velocidad: [ 0.4873, -0.0229] | pbest: -45.1796 | gbest: -45.1796
Partícula 15 | Posición: [-1.3687, -1.7550] | Velocidad: [-0.2526,  0.8231] | pbest: -44.1146 | gbest: -45.1796
Partícula 16 | Posición: [-1.7297, -1.5098] | Velocidad: [-0.9066, -0.8036] | pbest: -44.3675 | gbest: -45.1796
Partícula 17 | Posición: [-1.4808, -1.3101] | Velocidad: [-0.2125, -0.1002] | pbest: -45.1448 | gbest: -45.1796
Partícula 18 | Posición: [-0.8604, -1.4635] | Velocidad: [-0.3163, -0.0059] | pbest: -41.4770 | gbest: -45.1796
Partícula 19 | Posición: [ 0.1156, -0.2362] | Velocidad: [ 0.5498,  0.5771] | pbest: -27.8318 | gbest: -45.1796
Partícula 20 | Posición: [-1.5062, -1.7175] | Velocidad: [ 0.4222, -1.5577] | pbest: -44.4610 | gbest: -45.1796

--- Iteración 5 ---
Partícula 01 | Posición: [-1.1800,  1.8576] | Velocidad: [ 0.0533, -0.3428] | pbest: -5.0309 | gbest: -45.1796
Partícula 02 | Posición: [-1.2954, -1.8801] | Velocidad: [-0.3508,  0.0749] | pbest: -42.6582 | gbest: -45.1796
Partícula 03 | Posición: [-1.8041, -1.6150] | Velocidad: [-0.1567,  0.2898] | pbest: -43.4351 | gbest: -45.1796
Partícula 04 | Posición: [-2.4038, -1.6174] | Velocidad: [-2.6645, -0.2977] | pbest: -33.3943 | gbest: -45.1796
Partícula 05 | Posición: [-1.2632, -0.6511] | Velocidad: [ 0.0374,  0.4621] | pbest: -43.5896 | gbest: -45.1796
Partícula 06 | Posición: [-1.1417, -2.0201] | Velocidad: [-0.1511,  0.6302] | pbest: -39.8681 | gbest: -45.1796
Partícula 07 | Posición: [-1.4038, -0.7012] | Velocidad: [-0.2195,  0.5786] | pbest: -44.0643 | gbest: -45.1796
Partícula 08 | Posición: [-2.2088,  0.0512] | Velocidad: [-1.7686,  0.9974] | pbest: -29.8445 | gbest: -45.1796
Partícula 09 | Posición: [-1.5397, -1.5423] | Velocidad: [ 0.2594, -0.6458] | pbest: -45.2284 | gbest: -45.2284
Partícula 10 | Posición: [-1.5828, -1.5366] | Velocidad: [ 2.4248, -0.1128] | pbest: -45.1171 | gbest: -45.2284
Partícula 11 | Posición: [-2.1967, -1.5218] | Velocidad: [-0.3685,  0.0150] | pbest: -43.4573 | gbest: -45.2284
Partícula 12 | Posición: [-0.9038, -1.3158] | Velocidad: [ 0.0918,  0.1907] | pbest: -42.6648 | gbest: -45.2284
Partícula 13 | Posición: [-1.5153, -1.4472] | Velocidad: [-0.0232, -0.3412] | pbest: -45.3802 | gbest: -45.3802
Partícula 14 | Posición: [-1.3417, -1.5315] | Velocidad: [ 0.2043,  0.0240] | pbest: -45.1819 | gbest: -45.3802
Partícula 15 | Posición: [-1.6131, -1.1248] | Velocidad: [-0.2444,  0.6302] | pbest: -44.1146 | gbest: -45.3802
Partícula 16 | Posición: [-1.8501, -1.7605] | Velocidad: [-0.1205, -0.2506] | pbest: -44.3675 | gbest: -45.3802
Partícula 17 | Posición: [-1.5694, -1.3645] | Velocidad: [-0.0886, -0.0544] | pbest: -45.1449 | gbest: -45.3802
Partícula 18 | Posición: [-1.7357, -1.4787] | Velocidad: [-0.8753, -0.0153] | pbest: -44.3557 | gbest: -45.3802
Partícula 19 | Posición: [-1.8034, -1.6952] | Velocidad: [-1.9190, -1.4590] | pbest: -43.0077 | gbest: -45.3802
Partícula 20 | Posición: [-1.3407, -2.2407] | Velocidad: [ 0.1655, -0.5232] | pbest: -44.4610 | gbest: -45.3802

--- Iteración 6 ---
Partícula 01 | Posición: [-1.1726, -0.3514] | Velocidad: [ 0.0074, -2.2090] | pbest: -30.1517 | gbest: -45.3802
Partícula 02 | Posición: [-1.6525, -1.4235] | Velocidad: [-0.3571,  0.4567] | pbest: -44.8889 | gbest: -45.3802
Partícula 03 | Posición: [-1.5244, -1.3001] | Velocidad: [ 0.2798,  0.3149] | pbest: -45.0486 | gbest: -45.3802
Partícula 04 | Posición: [-2.4041, -1.5323] | Velocidad: [-0.0003,  0.0850] | pbest: -33.6640 | gbest: -45.3802
Partícula 05 | Posición: [-1.3204, -0.8252] | Velocidad: [-0.0572, -0.1741] | pbest: -43.5896 | gbest: -45.3802
Partícula 06 | Posición: [-1.5902, -1.1730] | Velocidad: [-0.4484,  0.8471] | pbest: -44.1390 | gbest: -45.3802
Partícula 07 | Posición: [-1.4234, -0.8858] | Velocidad: [-0.0196, -0.1846] | pbest: -44.0643 | gbest: -45.3802
Partícula 08 | Posición: [-1.6016, -1.5193] | Velocidad: [ 0.6072, -1.5705] | pbest: -45.0817 | gbest: -45.3802
Partícula 09 | Posición: [-1.4339, -1.7929] | Velocidad: [ 0.1057, -0.2505] | pbest: -45.2284 | gbest: -45.3802
